    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   11   10        18   19        0.29335         73.721         73.295            4.620            3.718         0.14142E+00    0.14142E+00    0
   11   10        19   20        0.42005         78.722         78.063            3.070            3.289         0.14142E+00    0.14142E+00    0
   12    5        41   48        1.49495         75.925         73.441            4.200            4.695         0.14142E+00    0.14919E+00    1
   12    5        48   55        0.92857         65.376         64.178            6.900            5.243         0.14142E+00    0.14142E+00    0
   12    5        55   62        0.20678         56.393         56.586            3.120            5.455         0.14142E+00    0.14142E+00    0
   12    5        62   69        0.41067         49.894         50.267           -0.060            3.413         0.14142E+00    0.14142E+00    0
   12    5        43   50        1.74143         81.872         78.219            4.460            4.751         0.14142E+00    0.16189E+00    1
   12    5        50   57        0.31750         60.039         59.666            6.580            5.362         0.14142E+00    0.14142E+00    0
   12    5        57   64        0.39832         57.055         57.511            4.880            5.041         0.14142E+00    0.14142E+00    0
   12    5        64   71        0.10277         48.484         48.571            1.580            2.595         0.14142E+00    0.14142E+00    0
   12    5        45   52        1.70338         78.575         75.227            4.620            4.945         0.14142E+00    0.15989E+00    1
   12    5        52   59        0.13786         57.807         57.763            8.190            5.543         0.14142E+00    0.14142E+00    0
   12    5        59   66        0.22606         55.713         55.964            5.130            4.526         0.14142E+00    0.14142E+00    0
   12    8        31   35        0.35558         68.359         68.847            4.500            4.538         0.14142E+00    0.14142E+00    0
   12    8        35   39        0.52369         60.927         61.568            4.590            4.724         0.14142E+00    0.14142E+00    0
   12    8        39   43        0.66641         56.962         57.725            5.460            4.468         0.14142E+00    0.14142E+00    0
   12    8        43   47        1.68173         84.483         80.866            4.290            4.625         0.14142E+00    0.16131E+00    1
   12    8        33   37        0.33541         64.403         64.836            4.230            4.590         0.14142E+00    0.14142E+00    0
   12    8        37   41        0.57832         58.675         59.356            5.340            4.534         0.14142E+00    0.14142E+00    0
   12    8        41   45        0.62029         67.819         66.984            5.100            4.651         0.14142E+00    0.14142E+00    0
   12    8        45   49        1.74838         84.346         80.416            3.620            4.888         0.14142E+00    0.16522E+00    1
   12   10        19   21        0.13885         77.191         76.979            2.660            3.094         0.14142E+00    0.14142E+00    0
   12   10        21   23        0.54638         79.772         78.906            3.840            3.771         0.14142E+00    0.14142E+00    0
   12   10        23   25        0.51103         73.163         72.419            3.690            3.576         0.14142E+00    0.14142E+00    0
   12   10        25   27        0.06222         82.771         82.678            3.360            3.888         0.14142E+00    0.14142E+00    0
   12   10        27   29        0.11362         70.395         70.236            3.920            3.936         0.14142E+00    0.14142E+00    0
   12   10        29   31        0.28174         69.102         69.492            4.190            4.065         0.14142E+00    0.14142E+00    0
   12   10        31   33        0.56761         70.102         70.902            4.090            4.452         0.14142E+00    0.14142E+00    0
   12   10        33   35        0.17146         68.552         68.787            4.160            4.515         0.14142E+00    0.14142E+00    0
   12   11        13   14        0.06951         81.010         80.949            4.440            3.278         0.14142E+00    0.14142E+00    0
   12   11        14   15        0.98336         92.490         90.703            6.400            4.019         0.14142E+00    0.14142E+00    0
   12   11        19   20        0.31533         78.577         79.073            2.560            2.809         0.14142E+00    0.14142E+00    0
   12   11        20   21        0.01008         74.999         75.006            3.190            3.013         0.14142E+00    0.14142E+00    0
   13    6        42   49        1.53200         78.219         75.475            5.130            4.613         0.14142E+00    0.15270E+00    1
   13    6        58   65        0.04328         57.258         57.301            4.380            4.815         0.14142E+00    0.14142E+00    0
